WeekDay	Today 	History 	Number
Saturday	Saturday	 21/5/2011	25
Sunday	Sunday	 22/5/2011	10
Monday	Monday	 23/5/2011	5
Tuesday	Tuesday	 24/5/2011	8
Wednesday	Wednesday	 25/5/2011	4
Thursday	Thursday	 26/5/2011	3
Friday	Fri protectors of home	 27/5/2011	17
Saturday	Saturday	 28/5/2011	9
Sunday	Sunday	 29/5/2011	25
Monday	Monday	 30/5/2011	11
Tuesday	Tuesday	 31/5/2011	37
Wednesday	Wednesday	 1/6/2011	20
Thursday	Thursday	 2/6/2011	33
Friday	Fri children freedom	 3/6/2011	84
Saturday	Saturday	 4/6/2011	24
Sunday	A massacre bridge vacancy	 5/6/2011	56
Monday	Monday	 6/6/2011	5
Tuesday	Tuesday	 7/6/2011	0
Wednesday	Wednesday	 8/6/2011	3
Thursday	Thursday	 9/6/2011	1
Friday	Fri clans	 10/6/2011	211
Saturday	Saturday	 11/6/2011	3
Sunday	Sunday	 12/6/2011	3
Monday	Monday	 13/6/2011	1
Tuesday	Tuesday	 14/6/2011	2
Wednesday	Wednesday	 15/6/2011	4
Thursday	Thursday	 16/6/2011	3
Friday	Fri honorable	 17/6/2011	16
Saturday	Saturday	 18/6/2011	5
Sunday	Sunday	 19/6/2011	1
Monday	Monday	 20/6/2011	1
Tuesday	Tuesday	 21/6/2011	10
Wednesday	Wednesday	 22/6/2011	1
Thursday	Thursday	 23/6/2011	2
Friday	Fri the fall of the legitimate	 24/6/2011	19
Saturday	Saturday	 25/6/2011	3
Sunday	Sunday	 26/6/2011	2
Monday	Monday	 27/6/2011	2
Tuesday	Tuesday	 28/6/2011	1
Wednesday	Wednesday	 29/6/2011	9
Thursday	Thursday	 30/6/2011	4
Friday	Fri Leave	 1/7/2011	29
Saturday	Saturday	 2/7/2011	3
Sunday	Sunday	 3/7/2011	6
Monday	Monday	 4/7/2011	2
Tuesday	Tuesday	 5/7/2011	29
Wednesday	Wednesday	 6/7/2011	2
Thursday	Thursday	 7/7/2011	3
Friday	Fri no to dialogue	 8/7/2011	19
Saturday	Saturday	 9/7/2011	2
Sunday	Sunday	 10/7/2011	3
Monday	Monday	 11/7/2011	1
Tuesday	Tuesday	 12/7/2011	0
Wednesday	Wednesday	 13/7/2011	7
Thursday	Thursday	 14/7/2011	8
Friday	Fri Prisoners of Freedom	 15/7/2011	37
Saturday	Saturday	 16/7/2011	9
Sunday	Sunday	 17/7/2011	11
Monday	Monday	 18/7/2011	19
Tuesday	Tuesday	 19/7/2011	13
Wednesday	Wednesday	 20/7/2011	1
Thursday	Thursday	 21/7/2011	6
Friday	Fri descendants of Khalid	 22/7/2011	18
Saturday	Saturday	 23/7/2011	9
Sunday	Sunday	 24/7/2011	5
Monday	Monday	 25/7/2011	6
Tuesday	Tuesday	 26/7/2011	6
Wednesday	Wednesday	 27/7/2011	13
Thursday	Thursday	 28/7/2011	5
Friday	Fri silence is killing us	 29/7/2011	22
Saturday	Saturday	 30/7/2011	12
Sunday	A crescent of Ramadan massacre	 31/7/2011	140
Monday	Monday	 1/8/2011	40
Tuesday	Tuesday	 2/8/2011	11
Wednesday	Wednesday	 3/8/2011	19
Thursday	Thursday	 4/8/2011	15
Friday	God has with us	 5/8/2011	25
Saturday	Saturday	 6/8/2011	6
Sunday	A massacre of Deir Al-Zour	 7/8/2011	144
Monday	Monday	 8/8/2011	9
Tuesday	Tuesday	 9/8/2011	32
Wednesday	Wednesday	 10/8/2011	19
Thursday	Thursday	 11/8/2011	19
Friday	Fri only God will not go down	 12/8/2011	26
Saturday	Saturday	 13/8/2011	14
Sunday	Sunday	 14/8/2011	43
Monday	Monday	 15/8/2011	23
Tuesday	Tuesday	 16/8/2011	7
Wednesday	Wednesday	 17/8/2011	18
Thursday	Thursday	 18/8/2011	11
Friday	Fri promise of victory	 19/8/2011	45
Saturday	Saturday	 20/8/2011	17
Sunday	Sunday	 21/8/2011	2
Monday	Monday	 22/8/2011	37
Tuesday	Tuesday	 23/8/2011	10
Wednesday	Wednesday	 24/8/2011	22
Thursday	Thursday	 25/8/2011	10
Friday	Fri patience and persistence	 26/8/2011	16
Saturday	Saturday	 27/8/2011	14
Sunday	Sunday	 28/8/2011	17
Monday	Monday	 29/8/2011	6
Tuesday	Tuesday	 30/8/2011	10
Wednesday	Wednesday	 31/8/2011	4
Thursday	Thursday	 1/9/2011	9
Friday	Fri death or humiliation	 2/9/2011	25
Saturday	Saturday	 3/9/2011	8
Sunday	Sunday	 4/9/2011	17
Monday	Monday	 5/9/2011	12
Tuesday	Tuesday	 6/9/2011	13
Wednesday	Wednesday	 7/9/2011	48
Thursday	Thursday	 8/9/2011	16
Friday	Fri international protection	 9/9/2011	31
Saturday	Saturday	 10/9/2011	25
Sunday	Sunday	 11/9/2011	17
Monday	Monday	 12/9/2011	25
Tuesday	Tuesday	 13/9/2011	12
Wednesday	Wednesday	 14/9/2011	15
Thursday	Thursday	 15/9/2011	15
Friday	Fri're going to victory	 16/9/2011	52
Saturday	Saturday	 17/9/2011	15
Sunday	Sunday	 18/9/2011	6
Monday	Monday	 19/9/2011	14
Tuesday	Tuesday	 20/9/2011	9
Wednesday	Wednesday	 21/9/2011	14
Thursday	Thursday	 22/9/2011	7
Friday	Friday and unity of the opposition	 23/9/2011	27
Saturday	Saturday	 24/9/2011	11
Sunday	Sunday	 25/9/2011	6
Monday	Monday	 26/9/2011	8
Tuesday	Tuesday	 27/9/2011	13
Wednesday	Wednesday	 28/9/2011	25
Thursday	Thursday	 29/9/2011	7
Friday	Fri victory Chamna and Amanana	 30/9/2011	19
Saturday	Saturday	 1/10/2011	17
Sunday	Sunday	 2/10/2011	13
Monday	Monday	 3/10/2011	1
Tuesday	Tuesday	 4/10/2011	13
Wednesday	Wednesday	 5/10/2011	18
Thursday	Thursday	 6/10/2011	10
Friday	Fri National Council represent me	 7/10/2011	24
Saturday	Saturday	 8/10/2011	19
Sunday	Sunday	 9/10/2011	18
Monday	Monday	 10/10/2011	6
Tuesday	Tuesday	 11/10/2011	12
Wednesday	Wednesday	 12/10/2011	1
Thursday	Thursday	 13/10/2011	15
Friday	Fri free to military	 14/10/2011	25
Saturday	Saturday	 15/10/2011	20
Sunday	Sunday	 16/10/2011	13
Monday	Monday	 17/10/2011	41
Tuesday	Tuesday	 18/10/2011	9
Wednesday	Wednesday	 19/10/2011	25
Thursday	Thursday	 20/10/2011	19
Friday	Fri Arab Martyrs deadline	 21/10/2011	29
Saturday	Saturday	 22/10/2011	24
Sunday	Sunday	 23/10/2011	23
Monday	Monday	 24/10/2011	22
Tuesday	Tuesday	 25/10/2011	3
Wednesday	Wednesday	 26/10/2011	23
Thursday	Thursday	 27/10/2011	12
Friday	Fri-fly	 28/10/2011	74
Saturday	Saturday	 29/10/2011	27
Sunday	Sunday	 30/10/2011	8
Monday	Monday	 31/10/2011	12
Tuesday	Tuesday	 1/11/2011	6
Wednesday	Wednesday	 2/11/2011	25
Thursday	Thursday	 3/11/2011	29
Friday	God has more on the offset and force	 4/11/2011	30
Saturday	Saturday	 5/11/2011	46
Sunday	Sunday	 6/11/2011	30
Monday	Monday	 7/11/2011	11
Tuesday	Tuesday	 8/11/2011	21
Wednesday	Wednesday	 9/11/2011	21
Thursday	Thursday	 10/11/2011	37
Friday	Fri freeze Member	 11/11/2011	34
Saturday	Saturday	 12/11/2011	20
Sunday	Sunday	 13/11/2011	29
Monday	Monday	 14/11/2011	44
Tuesday	Tuesday	 15/11/2011	22
Wednesday	Wednesday	 16/11/2011	27
Thursday	Thursday	 17/11/2011	25
Friday	Fri expel ambassadors	 18/11/2011	24
Saturday	Saturday	 19/11/2011	22
Sunday	Sunday	 20/11/2011	14
Monday	Monday	 21/11/2011	28
Tuesday	Tuesday	 22/11/2011	39
Wednesday	Wednesday	 23/11/2011	25
Thursday	Thursday	 24/11/2011	37
Friday	Fri Army protect me free	 25/11/2011	26
Saturday	Saturday	 26/11/2011	38
Sunday	Sunday	 27/11/2011	46
Monday	Monday	 28/11/2011	18
Tuesday	Tuesday	 29/11/2011	10
Wednesday	Wednesday	 30/11/2011	28
Thursday	Thursday	 1/12/2011	19
Friday	Fri buffer zone, our demand	 2/12/2011	22
Saturday	Saturday	 3/12/2011	28
Sunday	Sunday	 4/12/2011	34
Monday	Monday	 5/12/2011	34
Tuesday	Tuesday	 6/12/2011	15
Wednesday	Wednesday	 7/12/2011	11
Thursday	Thursday	 8/12/2011	30
Friday	Fri strike dignity	 9/12/2011	46
Saturday	Saturday	 10/12/2011	18
Sunday	Sunday	 11/12/2011	28
Monday	Monday	 12/12/2011	21
Tuesday	Tuesday	 13/12/2011	40
Wednesday	Wednesday	 14/12/2011	37
Thursday	Thursday	 15/12/2011	13
Friday	Fri Arab League is killing us	 16/12/2011	20
Saturday	Saturday	 17/12/2011	35
Sunday	Sunday	 18/12/2011	26
Monday	Monday	 19/12/2011	121
Tuesday	Tuesday	 20/12/2011	146
Wednesday	Wednesday	 21/12/2011	38
Thursday	Thursday	 22/12/2011	46
Friday	Fri death protocol	 23/12/2011	32
Saturday	Saturday	 24/12/2011	31
Sunday	Sunday	 25/12/2011	14
Monday	Monday	 26/12/2011	52
Tuesday	Tuesday	 27/12/2011	39
Wednesday	Wednesday	 28/12/2011	26
Thursday	Thursday	 29/12/2011	43
Friday	Fri crawl to the squares of freedom	 30/12/2011	36
Saturday	Saturday	 31/12/2011	18
Sunday	Sunday	 1/1/2012	14
Monday	Monday	 2/1/2012	24
Tuesday	Tuesday	 3/1/2012	22
Wednesday	Wednesday	 4/1/2012	24
Thursday	Thursday	 5/1/2012	32
Friday	Gomaa said ye help God helps	 6/1/2012	34
Saturday	Saturday	 7/1/2012	23
Sunday	Sunday	 8/1/2012	23
Monday	Monday	 9/1/2012	17
Tuesday	Tuesday	 10/1/2012	40
Wednesday	Wednesday	 11/1/2012	27
Thursday	Thursday	 12/1/2012	27
Friday	Fri support of the Syrian army free	 13/1/2012	17
Saturday	Saturday	 14/1/2012	8
Sunday	Sunday	 15/1/2012	26
Monday	Monday	 16/1/2012	14
Tuesday	Tuesday	 17/1/2012	33
Wednesday	Wednesday	 18/1/2012	22
Thursday	Thursday	 19/1/2012	26
Friday	Fri detainees Revolution	 20/1/2012	23
Saturday	Saturday	 21/1/2012	100
Sunday	Sunday	 22/1/2012	16
Monday	Monday	 23/1/2012	32
Tuesday	Tuesday	 24/1/2012	67
Wednesday	Wednesday	 25/1/2012	22
Thursday	Thursday	 26/1/2012	95
Friday	Fri the right of self-defense	 27/1/2012	72
Saturday	Saturday	 28/1/2012	90
Sunday	Sunday	 29/1/2012	98
Monday	Monday	 30/1/2012	74
Tuesday	Tuesday	 31/1/2012	32
Wednesday	Wednesday	 1/2/2012	70
Thursday	Thursday	 2/2/2012	24
Friday	Sorry Hama Fri Samehana	 3/2/2012	28
Saturday	Sat massacre Khalidiya	 4/2/2012	400
Sunday	Sunday	 5/2/2012	59
Monday	Monday	 6/2/2012	93
Tuesday	Tuesday	 7/2/2012	92
Wednesday	Wednesday	 8/2/2012	134
Thursday	Thursday	 9/2/2012	169
Friday	Fri Russia kill our children	 10/2/2012	113
Saturday	Saturday	 11/2/2012	75
Sunday	Sunday	 12/2/2012	46
Monday	Monday	 13/2/2012	41
Tuesday	Tuesday	 14/2/2012	49
Wednesday	Wednesday	 15/2/2012	68
Thursday	Thursday	 16/2/2012	58
Friday	Fri Popular Resistance beginning of the stage	 17/2/2012	44
Saturday	Saturday	 18/2/2012	24
Sunday	Sunday	 19/2/2012	28
Monday	Monday	 20/2/2012	40
Tuesday	Tuesday	 21/2/2012	133
Wednesday	Wednesday	 22/2/2012	109
Thursday	Thursday	 23/2/2012	121
Friday	Fri Snntfd for you Baba Amr	 24/2/2012	96
Saturday	Saturday	 25/2/2012	123
Sunday	Sunday	 26/2/2012	69
Monday	Monday	 27/2/2012	145
Tuesday	Tuesday	 28/2/2012	98
Wednesday	Wednesday	 29/2/2012	35
Thursday	Thursday	 1/3/2012	54
Friday	Fri arming the army free	 2/3/2012	72
Saturday	Saturday	 3/3/2012	39
Sunday	Sunday	 4/3/2012	77
Monday	Monday	 5/3/2012	24
Tuesday	Tuesday	 6/3/2012	45
Wednesday	Wednesday	 7/3/2012	97
Thursday	Thursday	 8/3/2012	40
Friday	Friday to the Kurdish uprising	9/3/2012	101
Saturday	Saturday	10/3/2012	108
Sunday	Sunday	11/3/2012	118
